Year,Rate
1965,30.7
1965,43.536
1965,46.595
1965,46.152
1965,
1965,50.813
1965,
1965,47.4909153145433
1965,47.4837876424
1965,50.69
1965,42.615
1965,19.04
1965,18.5
1965,15.9
1965,48.395
1965,
1965,47.831
1965,
1965,45.417
1965,47.705
1965,41.599
1965,44.717
1965,41.41
1965,43.219
1965,33.553
1965,43.68
1965,41.88
1965,
1965,48.962
1965,49.086
1965,16.72
1965,37.5404402088129
1965,20.0
1965,19.4
1965,41.308
1965,44.424
1965,42.06
1965,33.1
1965,44.51
1965,45.793
1965,35.7366971889937
1965,44.558
1965,54.914
1965,39.883
1965,49.061
1965,47.852
1966,28.069
1966,52.13
1966,53.585
1966,36.112
1966,24.28
1966,
1966,40.168
1966,22.633
1966,27.515
1966,
1966,
1966,19.8
1966,17.6
1966,35.496
1966,44.619
1966,15.9
1966,45.714
1966,47.428
1966,47.011
1966,14.9
1966,44.971
1966,34.398
1966,26.954
1966,
1966,40.779
1966,20.3
1966,45.519
1966,38.637
1966,25.456
1966,38.756
1966,47.399
1966,46.235
1966,43.639
1966,19.3
1966,18.5
1966,16.747
1966,33.476
1966,35.05
1966,53.155
1966,44.425
1966,43.092
1966,41.923
1966,47.112
1966,44.396
1966,38.996
1966,33.622
1966,
1966,22.292
1966,
1966,
1966,50.723
1966,
1966,18.4
1966,46.458
1966,49.441
1966,
1966,
1966,
1966,
1966,43.267
1966,42.507
1966,
1966,47.923
1966,20.6
1966,
1966,47.842
1966,
1966,17.0
1966,38.083
1966,17.6
1966,
1966,42.178
1966,32.03
1966,17.9
1966,20.752
1966,47.645
1966,
1966,49.071
1966,48.768
1966,37.017
1966,40.661
1966,17.9
1966,32.381
1966,
1966,45.059
1966,33.437
1966,40.799
1966,
1966,25.3
1966,48.752
1966,
1966,
1966,41.596
1966,13.6
1966,42.809
1966,
1966,21.6
1966,44.908
1966,45.194
1966,23.8
1966,25.5
1966,18.7
1966,
1966,53.088
1966,13.8
1966,
1966,50.683
1966,
1966,44.434
1966,
1966,
1966,
1966,
1966,48.329
1966,
1966,42.592
1966,35.686
1966,51.351
1966,49.421
1966,
1966,
1966,
1966,
1966,
1966,
1966,
1966,
1966,42.469
1966,
1966,15.5
1966,
1966,24.138
1966,48.974
1966,
1966,20.616
1966,47.952
1966,39.928
1966,
1966,43.976
